host_since,host_location,host_is_superhost,host_identity_verified,host_has_profile_pic,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,number_of_reviews,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,instant_bookable,bathroom_type,has_license,has_terrace,has_wifi,pet_allowed,has_AC,has_kitchen
4646,spain,False,True,True,eixample,41.40181,2.1761,entire_home_apt,2,1.0,1.0,1.0,176.0,7.0,760.0,True,0,0,90,75.0,4.74,4.59,4.83,4.79,4.81,4.67,1.15,True,1,True,True,True,False,True,True
4646,spain,False,True,True,ciutat_vella,41.37936,2.17376,entire_home_apt,6,1.5,4.0,5.0,74.0,32.0,760.0,True,0,0,2,2914.0,4.0,4.5,5.0,5.0,5.0,4.5,0.02,False,1,True,False,True,False,False,True
5312,spain,False,True,True,eixample,41.40556,2.17262,entire_home_apt,8,2.0,3.0,6.0,257.0,1.0,1125.0,True,10,36,41,95.0,4.35,4.63,4.75,4.68,4.78,4.3,0.3,True,1,True,True,True,False,True,True
5263,spain,False,True,True,sant_marti,41.41243172529066,2.219750335269476,entire_home_apt,5,2.0,3.0,4.0,249.0,3.0,32.0,True,10,20,78,77.0,4.79,4.89,4.95,4.99,4.62,4.64,0.48,False,1,True,True,True,False,True,True
5180,spain,False,True,True,gracia,41.40566,2.17015,entire_home_apt,6,1.5,2.0,3.0,240.0,1.0,31.0,True,4,6,121,61.0,4.46,4.39,4.88,4.88,4.87,4.5,0.77,False,1,True,True,True,False,True,True
4641,spain,True,True,True,eixample,41.3778,2.1582,entire_home_apt,2,1.0,1.0,1.0,126.0,7.0,1125.0,True,4,4,174,61.0,4.65,4.74,4.76,4.81,4.78,4.56,1.18,False,1,True,True,True,False,True,True
5307,spain,False,True,True,ciutat_vella,41.38062,2.17517,entire_home_apt,2,1.0,1.0,1.0,229.0,5.0,120.0,True,10,40,13,91.0,4.2,4.4,4.3,4.7,4.6,4.0,0.08,False,1,True,True,True,False,True,True
4640,no_info,True,True,True,eixample,41.3895,2.15769,entire_home_apt,4,2.0,2.0,2.0,281.0,3.0,365.0,True,2,13,295,64.0,4.71,4.7,4.78,4.88,4.89,4.63,1.96,False,1,True,False,True,True,True,True
4635,spain,False,True,True,ciutat_vella,41.37938,2.18111,entire_home_apt,5,1.0,2.0,5.0,393.0,1.0,365.0,True,30,60,13,3369.0,4.18,4.55,4.82,4.91,4.73,4.09,0.09,False,1,False,False,True,False,True,True
5307,spain,False,True,True,ciutat_vella,41.37978,2.17623,entire_home_apt,9,3.0,4.0,6.0,450.0,5.0,365.0,True,6,17,234,63.0,4.53,4.64,4.67,4.7,4.68,4.43,1.4,False,1,True,False,True,False,True,True
4639,spain,False,True,True,eixample,41.38306672940918,2.1551754500947617,entire_home_apt,6,2.0,3.0,4.0,193.0,1.0,1125.0,True,0,7,138,114.0,4.68,4.82,4.86,4.83,4.79,4.6,0.96,True,1,True,True,True,False,True,True
